referent	EN_source_sentence	referent_embedding	sentence_source	OPUS_DE_translation	DE_gender	OPUS_ES_translation	ES_gender	DE_contrastive_TR	DE_contrastive_gender	ES_contrastive_TR	ES_contrastive_gender
terrorist	In my book, dropping barrel bombs on homes and hospitals and using chlorine gas against civilians is good enough cause to consider you a terrorist.	male_embedding_list	C4	In meinem Buch ist es gut, Fassbomben auf Häuser und Krankenhäuser zu werfen und Chlorgas gegen Zivilisten zu verwenden, um Sie als Terroristen zu betrachten.	masculine	En mi libro, lanzar bombas de barril en hogares y hospitales y usar gas cloro contra civiles es una buena causa para considerarte un terrorista.	neutral	In meinem Buch ist es gut, Fassbomben auf Häuser und Krankenhäuser zu werfen und Chlorgas gegen Zivilisten zu verwenden, um Sie als Terroristin zu betrachten.	feminine	En mi libro, lanzar bombas de barril en hogares y hospitales y usar gas cloro contra civiles es una buena causa para considerarte un terrorista.	neutral
ally	I can be an ally to others and I can be braver in helping others to take action on these moments, both little and big.	LLM_neutral_list	C4	Ich kann ein Verbündeter zu anderen sein und ich kann mutiger sein, anderen zu helfen, Maßnahmen in diesen Momenten zu ergreifen, sowohl klein als auch groß.	masculine	Puedo ser un aliado de otros y puedo ser más valiente ayudando a otros a tomar acción en estos momentos, tanto pequeños como grandes.	masculine	Ich kann eine Verbündete zu anderen sein und ich kann mutiger sein, anderen zu helfen, Maßnahmen in diesen Momenten zu ergreifen, sowohl klein als auch groß.	feminine	Puedo ser una aliada de otros y puedo ser más valiente ayudando a otros a tomar acción en estos momentos, tanto pequeños como grandes.	feminine
seeker	The only attention seeker here is you with your victim attitude and pity us posts.	LLM_neutral_list	C4	Der einzige Aufmerksamkeitssucher hier bist du mit deiner Opferhaltung und Mitleid mit uns Posts.	masculine	El único buscador de atención aquí es usted con su actitud de víctima y lástima de nosotros postes.	masculine	Die einzige Aufmerksamkeitssucherin hier bist du mit deiner Opferhaltung und Mitleid mit uns Posts.	feminine	La única buscadora de atención aquí es usted con su actitud de víctima y lástima de nosotros postes.	feminine
janitor	Enter a mysterious janitor who — presto! — magically transforms Mike back into his sleek bod of 17, allowing him either to make amends or screw things up even worse than before.	male_embedding_list	C4	Betretet einen geheimnisvollen Hausmeister, der Mike auf magische Weise wieder in seinen eleganten 17-Jährigen verwandelt, der es ihm erlaubt, sich zu rächen oder die Dinge noch schlimmer zu versauen als zuvor.	masculine	Entra en un misterioso conserje que — ¡presto! — mágicamente transforma a Mike en su elegante cuerpo de 17, permitiéndole hacer las paces o arruinar las cosas aún peor que antes.	masculine	Betretet eine geheimnisvolle Hausmeisterin, die Mike auf magische Weise wieder in seinen eleganten 17-Jährigen verwandelt, der es ihm erlaubt, sich zu rächen oder die Dinge noch schlimmer zu versauen als zuvor.	feminine	Entra en una misteriosa conserje que — ¡presto! — mágicamente transforma a Mike en su elegante cuerpo de 17, permitiéndole hacer las paces o arruinar las cosas aún peor que antes.	feminine
attendant	After one day the attendant remembered how we liked our morning coffee.	female_embedding_list	C4	Nach einem Tag erinnerte sich der Diener daran, wie sehr uns unser Morgenkaffee gefiel.	masculine	Después de un día el asistente recordó cómo nos gustaba nuestro café de la mañana.	masculine	Nach einem Tag erinnerte sich die Dienerin daran, wie sehr uns unser Morgenkaffee gefiel.	feminine	Después de un día la asistente recordó cómo nos gustaba nuestro café de la mañana.	feminine
doctor	I would be the first one in the family to be a doctor.	LLM_male_list	OpenSubtitles	Ich wäre der Erste in der Familie, der Arzt ist.	masculine	Yo sería el primero en la familia en ser médico.	masculine	Ich wäre die Erste in der Familie, die Ärztin ist.	feminine	Yo sería la primera en la familia en ser médica.	feminine
housekeeper	Before that, I was a housekeeper in a hotel for 5 months and a private house cleaner.	female_embedding_list	C4	Davor war ich 5 Monate lang Haushälterin in einem Hotel und eine private Hausreinigerin.	feminine	Antes de eso, era ama de llaves en un hotel durante 5 meses y limpiadora privada.	feminine	Davor war ich 5 Monate lang Haushälter in einem Hotel und ein privater Hausreiniger.	masculine	Antes de eso, era amo de llaves en un hotel durante 5 meses y limpiador privado.	masculine
clerk	More than 60,000 ballots went missing in Adams County, but the clerk — whose own ballot was among those — says they have been located and are on their way to voters.	female_embedding_list	C4	In Adams County wurden mehr als 60.000 Stimmzettel vermisst, aber der Schreiber — dessen Wahl selbst zu denen gehörte — sagt, er sei auf dem Weg zu den Wählern gewesen und sei auf dem Weg zu ihnen.	masculine	Más de 60.000 papeletas desaparecieron en el condado de Adams, pero el empleado — cuya propia papeleta estaba entre ellos — dice que han sido localizadas y están en camino a los votantes.	masculine	In Adams County wurden mehr als 60.000 Stimmzettel vermisst, aber die Schreiberin — dessen Wahl selbst zu denen gehörte — sagt, sie sei auf dem Weg zu den Wählern gewesen und sei auf dem Weg zu ihnen.	feminine	Más de 60.000 papeletas desaparecieron en el condado de Adams, pero la empleada — cuya propia papeleta estaba entre ellos — dice que han sido localizadas y están en camino a los votantes.	feminine
teacher	This week, Thomas Linn at Wired profiled an inspiring science teacher who became demoralized by the overly structured and financially under-supported realities of the US education system.	female_embedding_list	C4	Diese Woche profilierte Thomas Linn bei Wired einen inspirierenden Wissenschaftslehrer, der durch die überstrukturierten und finanziell unter stützten Realitäten des US-Bildungssystems demoralisiert wurde.	masculine	Esta semana, Thomas Linn en Wired perfiló a un inspirador profesor de ciencias que se desmoralizó por las realidades demasiado estructuradas y financieramente sub-apoyadas del sistema educativo estadounidense.	masculine	Diese Woche profilierte Thomas Linn bei Wired eine inspirierende Wissenschaftslehrerin, die durch die überstrukturierten und finanziell unter stützten Realitäten des US-Bildungssystems demoralisiert wurde.	feminine	Esta semana, Thomas Linn en Wired perfiló a una inspiradora profesora de ciencias que se desmoralizó por las realidades demasiado estructuradas y financieramente sub-apoyadas del sistema educativo estadounidense.	feminine
model	I thought you' d brought a professional model.	female_embedding_list	OpenSubtitles	Ich dachte, du hättest ein professionelles Model mitgebracht.	neutral	Pensé que habías traído un modelo profesional.	masculine	Ich dachte, du hättest ein professionelles Model mitgebracht.	neutral	Pensé que habías traído una modelo profesional.	feminine
